location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"fort lauderdale, fl",accident,2005-09-18,united states,non-fatal,airplane,airbus,a321-231,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,fort lauderdale,fl
"phoenix, az",accident,2005-10-12,united states,non-fatal,airplane,boeing,737-3h4,2.0,turbo fan,0.0,0.0,0.0,0.0,33.433333,-111.984722,no,phoenix,az
"phoenix, az",accident,2005-10-12,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,33.433333,-111.984722,no,phoenix,az
"atlantic ocean, ao",accident,2005-10-22,united states,non-fatal,airplane,boeing,737-832,2.0,turbo fan,0.0,2.0,1.0,2.0,38.75,-68.133333,no,atlantic ocean,ao
"san antonio, tx",accident,2005-10-22,united states,non-fatal,airplane,boeing,727-225,3.0,turbo fan,0.0,0.0,1.0,0.0,29.533611,-98.469723,no,san antonio,tx
"state college, pa",accident,2005-11-19,united states,non-fatal,airplane,boeing,737-800,2.0,turbo fan,0.0,0.0,0.0,0.0,40.849166,-77.848611,no,state college,pa
"chicago, il",accident,2005-11-28,united states,non-fatal,airplane,mcdonnell douglas,md-10,3.0,turbo fan,0.0,0.0,0.0,0.0,41.979723,-87.904444,no,chicago,il
"chicago, il",accident,2005-12-08,united states,non-fatal,airplane,boeing,737-700,2.0,turbo fan,1.0,21.0,1.0,21.0,unknown,unknown,no,chicago,il
"los angeles, ca",accident,2005-12-19,united states,non-fatal,airplane,boeing,747-400,4.0,turbo fan,0.0,0.0,0.0,0.0,33.9425,-118.413333,no,los angeles,ca
"boston, ma",incident,2005-12-20,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364167,-71.005,no,boston,ma
"seattle, wa",accident,2005-12-26,united states,non-fatal,airplane,mcdonnell douglas,md-83,2.0,turbo fan,0.0,0.0,0.0,0.0,47.448889,-122.309444,no,seattle,wa
"denver, co",incident,2006-01-19,united states,non-fatal,airplane,boeing,b777-200b,2.0,turbo fan,0.0,0.0,0.0,0.0,39.858333,-104.666667,no,denver,co
"boston, ma",accident,2006-02-25,united states,non-fatal,airplane,boeing,757-232,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364444,-71.005278,no,boston,ma
"omaha, ne",accident,2006-03-15,united states,non-fatal,airplane,boeing,757-222,2.0,turbo fan,0.0,0.0,1.0,0.0,41.303056,-95.894166,no,omaha,ne
"denver, co",incident,2006-03-21,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861389,-104.673056,no,denver,co
"memphis, tn",accident,2006-04-04,united states,non-fatal,airplane,mcdonnell douglas,dc10,3.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,memphis,tn
"denver, co",incident,2006-04-23,united states,non-fatal,airplane,boeing,747-400,4.0,turbo fan,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,denver,co
"dfw int'l apt, tx",accident,2006-04-25,united states,non-fatal,airplane,boeing,777-233er,2.0,turbo fan,0.0,0.0,1.0,0.0,32.891389,-97.036111,no,dfw int'l apt,tx
"boston, ma",accident,2006-05-12,united states,non-fatal,airplane,embraer,emb-145-lr,2.0,turbo fan,0.0,1.0,0.0,1.0,42.364444,-71.005278,no,boston,ma
"winchester, va",accident,2006-05-13,united states,non-fatal,airplane,embraer,145lr,2.0,turbo fan,0.0,0.0,1.0,0.0,39.138333,-78.12,no,winchester,va
"portland, or",incident,2006-05-17,united states,non-fatal,airplane,boeing,757-222,2.0,turbo fan,0.0,0.0,0.0,0.0,45.588611,-122.5975,no,portland,or
"fairbanks, ak",incident,2006-05-18,united states,non-fatal,airplane,mcdonnell douglas,md-83,2.0,turbo fan,0.0,0.0,0.0,0.0,64.8,-147.85,no,fairbanks,ak
"dulles, va",accident,2006-05-30,united states,non-fatal,airplane,embraer,emb-170,2.0,turbo fan,0.0,0.0,1.0,0.0,38.944444,-77.455556,no,dulles,va
