location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,aircraft_damage,city,state,region,passengers
"tulsa, ok",accident,2014-01-23,united states,non-fatal,airplane,piper,pa46 500tp,1.0,turbo prop,0.0,0.0,0.0,0.0,036222N,0095594W,no,Substantial,tulsa,ok,South,0.0
"ashland, mo",accident,2014-01-23,united states,non-fatal,airplane,cessna,414a,2.0,reciprocating,0.0,0.0,0.0,0.0,384627N,0921647W,no,Substantial,ashland,mo,Midwest,0.0
"west palm beach, fl",accident,2014-01-23,united states,non-fatal,helicopter,robinson helicopter,r22 beta,1.0,reciprocating,0.0,0.0,0.0,0.0,265045N,0801320W,no,Substantial,west palm beach,fl,South,0.0
"renton, wa",accident,2014-01-25,united states,non-fatal,airplane,waco classic aircraft,ymf f5c,1.0,reciprocating,0.0,0.0,0.0,0.0,472924N,0122132W,no,Substantial,renton,wa,West,0.0
"boulder, co",accident,2014-01-25,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,3.0,0.0,040221N,0105131W,no,Substantial,boulder,co,West,3.0
"mt. morris, il",accident,2014-01-25,united states,non-fatal,airplane,cessna,r182,1.0,reciprocating,0.0,0.0,1.0,0.0,042251N,0089262W,no,Substantial,mt. morris,il,Midwest,1.0
"millen, ga",accident,2014-01-26,united states,non-fatal,airplane,piper,pa-32rt-300,1.0,reciprocating,0.0,0.0,1.0,0.0,032482N,0815627W,no,Substantial,millen,ga,South,1.0
"rutherfordton, nc",accident,2014-01-26,united states,non-fatal,airplane,mooney,m20c,1.0,reciprocating,0.0,0.0,0.0,0.0,352134N,0815738W,no,Substantial,rutherfordton,nc,South,0.0
"wikieup, az",accident,2014-01-26,united states,non-fatal,airplane,cessna,170,1.0,reciprocating,0.0,0.0,0.0,0.0,342621N,1132920W,no,Destroyed,wikieup,az,West,0.0
"willcox, az",accident,2014-01-26,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,322456N,0011094W,no,Substantial,willcox,az,West,0.0
"eustis, ne",accident,2014-01-26,united states,non-fatal,airplane,cessna,r182,1.0,reciprocating,0.0,0.0,0.0,0.0,403938N,0100113W,no,Substantial,eustis,ne,Midwest,0.0
"roseburg, or",accident,2014-01-26,united states,non-fatal,airplane,pitts,s2c,1.0,reciprocating,0.0,0.0,0.0,0.0,431420N,1232121W,no,Substantial,roseburg,or,West,0.0
"milan, il",accident,2014-01-26,united states,non-fatal,airplane,cessna,172k,1.0,reciprocating,0.0,0.0,0.0,0.0,412624N,0903333W,no,Substantial,milan,il,Midwest,0.0
"columbia, ca",accident,2014-01-27,united states,non-fatal,airplane,beech,c90,2.0,turbo prop,0.0,0.0,0.0,0.0,038146N,1202448W,no,Substantial,columbia,ca,West,0.0
"point loma, ca",accident,2014-01-27,united states,non-fatal,airplane,general atomics,mq-9,1.0,turbo prop,0.0,0.0,0.0,0.0,032420N,0117360W,no,Destroyed,point loma,ca,West,0.0
"immokalee, fl",accident,2014-01-27,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,026262N,0081245W,no,Substantial,immokalee,fl,South,0.0
"stanwood, wa",accident,2014-01-27,united states,non-fatal,airplane,weinzierl,searey,1.0,reciprocating,0.0,0.0,0.0,0.0,048827N,1221749W,no,Substantial,stanwood,wa,West,0.0
"camarillo, ca",accident,2014-01-28,united states,non-fatal,airplane,piper,pa 23-250,2.0,reciprocating,0.0,0.0,0.0,0.0,341250N,0119524W,no,Substantial,camarillo,ca,West,0.0
"aurora, co",accident,2014-01-28,united states,non-fatal,airplane,cessna,310i,2.0,reciprocating,0.0,0.0,0.0,0.0,392024N,1042512W,no,Substantial,aurora,co,West,0.0
"west palm beach, fl",accident,2014-01-28,united states,non-fatal,airplane,piper,pa-34-200,2.0,reciprocating,0.0,0.0,0.0,0.0,264059N,0080544W,no,Substantial,west palm beach,fl,South,0.0
"fort carson, co",accident,2014-01-29,united states,non-fatal,airplane,diamond aircraft ind inc,da20-c1,1.0,reciprocating,0.0,0.0,2.0,0.0,384043N,1044518W,no,Substantial,fort carson,co,West,2.0
"memphis, tn",accident,2014-01-29,united states,non-fatal,helicopter,enstrom,f 28a,1.0,reciprocating,0.0,0.0,0.0,0.0,035122N,0090314W,no,Substantial,memphis,tn,South,0.0
"springfield, il",accident,2014-01-31,united states,non-fatal,airplane,piaggio,p180 - avanti ii,2.0,turbo prop,0.0,0.0,0.0,0.0,395039N,0894041W,no,Substantial,springfield,il,Midwest,0.0
"atlanta, ga",accident,2014-01-31,united states,non-fatal,airplane,mcdonnell douglas aircraft co,md 88,2.0,turbo fan,0.0,0.0,0.0,0.0,333813N,0842541W,no,Substantial,atlanta,ga,South,0.0
"oden, ar",accident,2014-01-31,united states,fatal,airplane,cessna,210e,1.0,reciprocating,1.0,0.0,0.0,0.0,343712N,0934635W,no,Substantial,oden,ar,South,1.0
"globe, az",accident,2014-02-01,united states,non-fatal,airplane,beech,v35a,1.0,reciprocating,0.0,0.0,1.0,0.0,033212N,1103912W,no,Substantial,globe,az,West,1.0
"bellevue, tn",accident,2014-02-03,united states,fatal,airplane,gulfstream am corp comm div,690,2.0,turbo prop,4.0,0.0,0.0,0.0,036230N,0865618W,no,Destroyed,bellevue,tn,South,4.0
"ft. lauderdale, fl",accident,2014-02-03,united states,non-fatal,airplane,gates learjet corp.,35a,1.0,turbo fan,0.0,0.0,0.0,0.0,026441N,0080833W,no,,ft. lauderdale,fl,South,0.0
"fort pierce, fl",accident,2014-02-03,united states,non-fatal,airplane,cessna,172r,1.0,reciprocating,0.0,0.0,0.0,0.0,027303N,0802139W,no,Substantial,fort pierce,fl,South,0.0
"elk city, ok",accident,2014-02-04,united states,non-fatal,airplane,cessna,525,2.0,turbo fan,0.0,0.0,0.0,0.0,352755N,0992341W,no,Substantial,elk city,ok,South,0.0
"phoenix, az",accident,2014-02-04,united states,non-fatal,airplane,piper,pa 28-181,1.0,reciprocating,0.0,2.0,1.0,2.0,334118N,0112457W,no,Substantial,phoenix,az,West,5.0
"eastsound, wa",accident,2014-02-04,united states,non-fatal,airplane,cessna,172k,1.0,reciprocating,0.0,0.0,0.0,0.0,484230N,1225438W,no,Substantial,eastsound,wa,West,0.0
"memphis, tn",accident,2014-02-05,united states,non-fatal,airplane,embraer,emb145 - ep,2.0,turbo jet,0.0,0.0,0.0,0.0,035120N,0090324W,no,Substantial,memphis,tn,South,0.0
"stuart, fl",accident,2014-02-08,united states,fatal,airplane,piper,pa-28-161,1.0,reciprocating,1.0,0.0,0.0,0.0,027105N,0080833W,no,Destroyed,stuart,fl,South,1.0
"panacea, fl",accident,2014-02-09,united states,fatal,helicopter,robinson helicopter company,r44 ii,1.0,reciprocating,2.0,1.0,0.0,1.0,295922N,0842328W,no,Substantial,panacea,fl,South,4.0
"sussex, nj",accident,2014-02-09,united states,non-fatal,airplane,bellanca,7kcab,1.0,reciprocating,0.0,0.0,0.0,0.0,041120N,0743723W,no,Substantial,sussex,nj,North East,0.0
"lexington, tx",accident,2014-02-09,united states,non-fatal,airplane,cessna,182a,1.0,reciprocating,0.0,0.0,0.0,0.0,302451N,0965756W,no,Substantial,lexington,tx,South,0.0
"orlando, fl",accident,2014-02-10,united states,non-fatal,helicopter,robinson helicopter,r44,1.0,reciprocating,0.0,0.0,0.0,0.0,282247N,0812845W,no,Substantial,orlando,fl,South,0.0
"west milford, nj",accident,2014-02-11,united states,non-fatal,airplane,piper,pa 38-112,1.0,reciprocating,0.0,0.0,0.0,0.0,041742N,0742048W,no,Substantial,west milford,nj,North East,0.0
"marion, ia",accident,2014-02-11,united states,non-fatal,airplane,piper,pa 46-350p,1.0,reciprocating,0.0,0.0,0.0,0.0,042146N,0913450W,no,Substantial,marion,ia,Midwest,0.0
"belen, nm",accident,2014-02-11,united states,non-fatal,airplane,cessna,182j,1.0,reciprocating,0.0,0.0,0.0,0.0,034402N,0106494W,no,Substantial,belen,nm,West,0.0
"gordon, ne",accident,2014-02-12,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,424418N,1021033W,no,Substantial,gordon,ne,Midwest,0.0
"galion, oh",accident,2014-02-13,united states,non-fatal,airplane,cessna,150 - g,1.0,reciprocating,0.0,0.0,0.0,0.0,404512N,0824325W,no,Substantial,galion,oh,Midwest,0.0
"ellsworth, ks",accident,2014-02-13,united states,non-fatal,airplane,cessna,172r,1.0,reciprocating,0.0,0.0,0.0,0.0,038451N,0981345W,no,Substantial,ellsworth,ks,Midwest,0.0
"gunnison, co",incident,2014-02-14,united states,non-fatal,airplane,cirrus design corp,sr22,1.0,reciprocating,0.0,0.0,0.0,0.0,385445N,1064558W,no,Minor,gunnison,co,West,0.0
"pinson, tn",accident,2014-02-14,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,1.0,0.0,1.0,352718N,0884225W,no,Substantial,pinson,tn,South,2.0
"bonham, tx",accident,2014-02-14,united states,non-fatal,helicopter,robinson helicopter company,r44 ii,1.0,reciprocating,0.0,0.0,0.0,0.0,334919N,0009679W,no,Substantial,bonham,tx,South,0.0
"clay, al",accident,2014-02-15,united states,fatal,airplane,cessna,210l,1.0,reciprocating,2.0,0.0,0.0,0.0,334227N,0863342W,no,Destroyed,clay,al,South,2.0
"mansfield, ma",accident,2014-02-15,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,004200N,0711145W,no,Substantial,mansfield,ma,North East,0.0
"holland, mi",accident,2014-02-15,united states,non-fatal,airplane,fogg,quicksilver mx ii,1.0,reciprocating,0.0,0.0,0.0,0.0,424713N,0086857W,no,Substantial,holland,mi,Midwest,0.0
"glendale, az",accident,2014-02-15,united states,non-fatal,airplane,cessna,172 - n,1.0,reciprocating,0.0,0.0,0.0,0.0,333150N,1121837W,no,Substantial,glendale,az,West,0.0
"telluride, co",accident,2014-02-16,united states,fatal,airplane,beech,35/33,1.0,reciprocating,3.0,0.0,0.0,0.0,375737N,1075547W,no,Substantial,telluride,co,West,3.0
"allentown, pa",accident,2014-02-16,united states,non-fatal,airplane,piper,pa-30,2.0,reciprocating,0.0,0.0,0.0,0.0,403413N,0752918W,no,Substantial,allentown,pa,North East,0.0
"kaycee, wy",accident,2014-02-17,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,2.0,10.0,2.0,434320N,1065751W,no,,kaycee,wy,West,14.0
"caldwell, nj",accident,2014-02-17,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,1.0,0.0,405231N,0741653W,no,Substantial,caldwell,nj,North East,1.0
"breckenridge, tx",accident,2014-02-18,united states,fatal,airplane,hawker,sea fury iss 25,1.0,reciprocating,1.0,0.0,0.0,0.0,324149N,0985257W,no,Destroyed,breckenridge,tx,South,1.0
"greenfield, ca",accident,2014-02-18,united states,non-fatal,helicopter,bell,47g 5a,1.0,reciprocating,0.0,0.0,0.0,0.0,361651N,0121101W,no,Substantial,greenfield,ca,West,0.0
"pearland, tx",accident,2014-02-19,united states,fatal,airplane,beech,b100,2.0,turbo prop,1.0,0.0,0.0,0.0,029313N,0951537W,no,Destroyed,pearland,tx,South,1.0
"macon, ga",accident,2014-02-19,united states,non-fatal,airplane,piper,j3c-65,1.0,reciprocating,0.0,2.0,0.0,2.0,324918N,0833343W,no,Substantial,macon,ga,South,4.0
"saluda, sc",accident,2014-02-21,united states,non-fatal,airplane,piper,pa 28-140,1.0,reciprocating,0.0,0.0,0.0,0.0,335536N,0814741W,no,Substantial,saluda,sc,South,0.0
"hollister, ca",accident,2014-02-22,united states,non-fatal,airplane,beech,a45,1.0,reciprocating,0.0,1.0,0.0,1.0,365315N,1212458W,no,Substantial,hollister,ca,West,2.0
"scappoose, or",accident,2014-02-22,united states,non-fatal,airplane,piper,pa 16,1.0,reciprocating,0.0,0.0,0.0,0.0,454618N,1225143W,no,Substantial,scappoose,or,West,0.0
"bountiful, ut",accident,2014-02-23,united states,non-fatal,airplane,cessna,p210n,1.0,reciprocating,0.0,0.0,0.0,0.0,040525N,1115522W,no,Substantial,bountiful,ut,West,0.0
"alabaster, al",accident,2014-02-23,united states,non-fatal,airplane,piper aircraft inc,pa-46-500tp,1.0,turbo prop,0.0,0.0,0.0,0.0,331040N,0086470W,no,Substantial,alabaster,al,South,0.0
"maricopa, az",accident,2014-02-24,united states,fatal,airplane,sabrena,dragonfly,1.0,reciprocating,1.0,0.0,0.0,0.0,325916N,0111555W,no,Substantial,maricopa,az,West,1.0
"presidio, tx",accident,2014-02-24,united states,non-fatal,helicopter,robinson helicopter company,r44 ii,1.0,reciprocating,0.0,1.0,0.0,1.0,293813N,0103594W,no,Substantial,presidio,tx,South,2.0
"lake wales, fl",accident,2014-02-24,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,274858N,0813447W,no,Substantial,lake wales,fl,South,0.0
"gulf shores, al",accident,2014-02-25,united states,non-fatal,airplane,american legend aircraft co,al3,1.0,reciprocating,0.0,0.0,0.0,0.0,030169N,0087423W,no,Substantial,gulf shores,al,South,0.0
"ramona, ca",accident,2014-02-25,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,033213N,1165432W,no,Substantial,ramona,ca,West,0.0
"corona, ca",accident,2014-02-25,united states,non-fatal,airplane,lake,la 4 200,1.0,reciprocating,0.0,0.0,0.0,0.0,335331N,0117365W,no,Substantial,corona,ca,West,0.0
"santa rosa, nm",accident,2014-02-25,united states,non-fatal,airplane,bellanca,17 30a,1.0,reciprocating,0.0,0.0,0.0,0.0,345515N,1042026W,no,Substantial,santa rosa,nm,West,0.0
"emmonak, ak",incident,2014-02-25,united states,non-fatal,airplane,douglas,c 118a,4.0,reciprocating,0.0,0.0,0.0,0.0,624729N,1643015W,no,Minor,emmonak,ak,West,0.0
"south bend, in",accident,2014-02-26,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,414230N,0086192W,no,Substantial,south bend,in,Midwest,0.0
"lanai city, hi",accident,2014-02-27,united states,fatal,airplane,piper,pa31,2.0,reciprocating,3.0,3.0,0.0,3.0,204623N,1565640W,no,Substantial,lanai city,hi,West,9.0
"molokai, hi",accident,2014-02-28,united states,non-fatal,airplane,partenavia s.p.a.,p 68 observer,2.0,reciprocating,0.0,0.0,0.0,0.0,211842N,0157550W,no,Substantial,molokai,hi,West,0.0
"caruthers, ca",accident,2014-02-28,united states,non-fatal,airplane,grumman,g164 - a,1.0,reciprocating,0.0,0.0,0.0,0.0,363231N,1194551W,no,Substantial,caruthers,ca,West,0.0
"fredericksburg, tx",accident,2014-02-28,united states,non-fatal,airplane,cessna,a185f,1.0,reciprocating,0.0,0.0,0.0,0.0,301435N,0985433W,no,Substantial,fredericksburg,tx,South,0.0
"lumberport, wv",accident,2014-03-01,united states,fatal,airplane,beech,f33,1.0,reciprocating,1.0,0.0,0.0,0.0,392526N,0802647W,no,Destroyed,lumberport,wv,South,1.0
"marlboro, ma",accident,2014-03-01,united states,non-fatal,airplane,piper,pa 11s,1.0,reciprocating,0.0,0.0,0.0,0.0,422035N,0713032W,no,Substantial,marlboro,ma,North East,0.0
"mayaguez, pr",accident,2014-03-01,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,1.0,0.0,181520N,0067854W,no,Substantial,mayaguez,pr,,1.0
"adrian, tx",accident,2014-03-01,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,0.0,0.0,0.0,035247N,1024830W,no,Substantial,adrian,tx,South,0.0
"truckee, ca",accident,2014-03-03,united states,fatal,airplane,piper,pa 46 350p,1.0,reciprocating,1.0,1.0,0.0,1.0,391752N,0120043W,no,Substantial,truckee,ca,West,3.0
"atlantic city, nj",accident,2014-03-04,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,1.0,0.0,392727N,0743438W,no,Substantial,atlantic city,nj,North East,1.0
"jackson, tn",accident,2014-03-05,united states,non-fatal,airplane,cessna,172r,1.0,reciprocating,0.0,0.0,0.0,0.0,035360N,0885456W,no,Substantial,jackson,tn,South,0.0
"san diego, ca",accident,2014-03-05,united states,non-fatal,airplane,boeing,737 - 932er,2.0,turbo fan,0.0,1.0,0.0,1.0,032446N,1171123W,no,,san diego,ca,West,2.0
"woodland, ca",accident,2014-03-06,united states,non-fatal,airplane,zenair,ch2t,1.0,reciprocating,0.0,0.0,0.0,0.0,038340N,0121510W,no,Substantial,woodland,ca,West,0.0
"pittstown, nj",accident,2014-03-07,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,403357N,0745846W,no,Substantial,pittstown,nj,North East,0.0
"san luis obispo, ca",accident,2014-03-07,united states,non-fatal,airplane,cessna,170b,1.0,reciprocating,0.0,0.0,0.0,0.0,035248N,1203834W,no,Substantial,san luis obispo,ca,West,0.0
"mulberry, fl",accident,2014-03-08,united states,non-fatal,airplane,cessna,170b,1.0,reciprocating,0.0,0.0,1.0,0.0,275546N,0082225W,no,Substantial,mulberry,fl,South,1.0
"fairhope, al",accident,2014-03-08,united states,non-fatal,airplane,cessna,172d,1.0,reciprocating,0.0,1.0,0.0,1.0,302738N,0875237W,no,Destroyed,fairhope,al,South,2.0
"salisbury, nc",accident,2014-03-08,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,1.0,1.0,1.0,353845N,0803113W,no,Substantial,salisbury,nc,South,3.0
"tanana, ak",accident,2014-03-08,united states,non-fatal,airplane,piper,pa 18,1.0,reciprocating,0.0,0.0,0.0,0.0,065320N,0151550W,no,Substantial,tanana,ak,West,0.0
"wapakoneta, oh",accident,2014-03-08,united states,non-fatal,airplane,cessna,310q,2.0,reciprocating,0.0,0.0,0.0,0.0,402937N,0841753W,no,Substantial,wapakoneta,oh,Midwest,0.0
"charlottesville, va",accident,2014-03-08,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,038823N,0078278W,no,Substantial,charlottesville,va,South,0.0
"carson city, nv",accident,2014-03-09,united states,fatal,airplane,cessna,120,1.0,reciprocating,1.0,0.0,0.0,0.0,039553N,1193954W,no,Destroyed,carson city,nv,West,1.0
"eden prairie, mn",accident,2014-03-09,united states,non-fatal,airplane,cessna,185,1.0,reciprocating,0.0,0.0,0.0,0.0,444939N,0932731W,no,Substantial,eden prairie,mn,Midwest,0.0
"chisago city, mn",accident,2014-03-10,united states,non-fatal,airplane,american champion aircraft,8gcbc,1.0,reciprocating,0.0,0.0,1.0,0.0,452211N,0925342W,no,Substantial,chisago city,mn,Midwest,1.0
"kekaha, hi",accident,2014-03-11,united states,fatal,weight-shift,evolution trikes,revo,1.0,reciprocating,2.0,0.0,0.0,0.0,215758N,0159406W,no,Substantial,kekaha,hi,West,2.0
"rochester, ny",incident,2014-03-13,united states,non-fatal,airplane,raytheon aircraft company,400a,2.0,turbo fan,0.0,0.0,0.0,0.0,004379N,0077402W,no,Minor,rochester,ny,North East,0.0
"philadelphia, pa",accident,2014-03-13,united states,non-fatal,airplane,airbus,a320 - 214,2.0,turbo fan,0.0,0.0,0.0,0.0,395138N,0751626W,no,Substantial,philadelphia,pa,North East,0.0
"monroe, wa",accident,2014-03-13,united states,non-fatal,airplane,norman,quad city challenger,1.0,reciprocating,0.0,0.0,0.0,0.0,475216N,1215942W,no,Substantial,monroe,wa,West,0.0
"west union, oh",accident,2014-03-13,united states,non-fatal,airplane,beech,35 c33a,1.0,reciprocating,0.0,0.0,0.0,0.0,038515N,0833359W,no,Substantial,west union,oh,Midwest,0.0
"brooksville, fl",accident,2014-03-14,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,282825N,0822720W,no,Substantial,brooksville,fl,South,0.0
"stuart, fl",accident,2014-03-14,united states,non-fatal,airplane,cessna,402b,2.0,reciprocating,0.0,0.0,1.0,0.0,027337N,0801612W,no,Substantial,stuart,fl,South,1.0
"de beque, co",accident,2014-03-14,united states,non-fatal,airplane,piper,pa 28-235,1.0,reciprocating,0.0,0.0,2.0,0.0,392659N,1083636W,no,Substantial,de beque,co,West,2.0
"broomfield, co",accident,2014-03-14,united states,non-fatal,airplane,stinson,108,1.0,reciprocating,0.0,0.0,0.0,0.0,395444N,0105744W,no,Substantial,broomfield,co,West,0.0
"zephyrhills, fl",accident,2014-03-16,united states,non-fatal,airplane,cessna,500,2.0,turbo fan,0.0,0.0,0.0,0.0,281539N,0082746W,no,Substantial,zephyrhills,fl,South,0.0
"marathon, fl",accident,2014-03-17,united states,non-fatal,airplane,cessna,210n,1.0,reciprocating,0.0,0.0,0.0,0.0,244334N,0008135W,no,Substantial,marathon,fl,South,0.0
"seattle, po",accident,2014-03-17,united states,non-fatal,airplane,airbus,a330 323,2.0,turbo fan,0.0,1.0,0.0,1.0,037383N,0130410W,no,,seattle,po,,2.0
"glendale, az",accident,2014-03-17,united states,non-fatal,airplane,grumman,tmb-3e,1.0,reciprocating,0.0,0.0,0.0,0.0,333139N,1121742W,no,Substantial,glendale,az,West,0.0
"greenwood, in",accident,2014-03-18,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,1.0,1.0,1.0,393811N,0086319W,no,Substantial,greenwood,in,Midwest,3.0
"elizabethton, tn",accident,2014-03-18,united states,non-fatal,airplane,cessna,172k,1.0,reciprocating,0.0,0.0,2.0,0.0,036260N,0082936W,no,Substantial,elizabethton,tn,South,2.0
"wichita falls, tx",accident,2014-03-18,united states,non-fatal,airplane,beech,p35,1.0,reciprocating,0.0,0.0,1.0,0.0,335138N,0982925W,no,Substantial,wichita falls,tx,South,1.0
"aurora, co",accident,2014-03-19,united states,fatal,airplane,smith,aerostar 601p,2.0,reciprocating,1.0,0.0,0.0,0.0,393336N,0041448E,no,Destroyed,aurora,co,West,1.0
"ruidoso, nm",accident,2014-03-19,united states,non-fatal,airplane,piper,pa 28r-201,1.0,reciprocating,0.0,0.0,0.0,0.0,332756N,1053255W,no,Substantial,ruidoso,nm,West,0.0
"hudson, co",accident,2014-03-19,united states,non-fatal,airplane,skykits corp,savannah vgw,1.0,reciprocating,0.0,0.0,0.0,0.0,040610N,0104424W,no,Substantial,hudson,co,West,0.0
"lamar, co",accident,2014-03-19,united states,non-fatal,airplane,mooney,m20j,1.0,reciprocating,0.0,1.0,1.0,1.0,381241N,0102363W,no,Substantial,lamar,co,West,3.0
"coolidge, az",accident,2014-03-20,united states,non-fatal,airplane,diamond aircraft ind inc,da 40,1.0,reciprocating,0.0,0.0,0.0,0.0,032561N,1112527W,no,Substantial,coolidge,az,West,0.0
"porterville, ca",accident,2014-03-20,united states,non-fatal,airplane,evektor-aerotechnik as,sportstar,1.0,reciprocating,0.0,0.0,0.0,0.0,036151N,0119335W,no,Substantial,porterville,ca,West,0.0
"charleston, sc",accident,2014-03-20,united states,non-fatal,airplane,cessna,421,2.0,reciprocating,0.0,0.0,0.0,0.0,325355N,0080225W,no,Substantial,charleston,sc,South,0.0
"salt lake city, ut",accident,2014-03-21,united states,non-fatal,airplane,bellanca,17 31,1.0,reciprocating,0.0,0.0,0.0,0.0,404637N,1115744W,no,Substantial,salt lake city,ut,West,0.0
"palatka, fl",accident,2014-03-21,united states,fatal,airplane,cessna aircraft co,lc41-550fg,1.0,reciprocating,1.0,1.0,0.0,1.0,293929N,0814023W,no,Substantial,palatka,fl,South,3.0
"truckee, ca",accident,2014-03-21,united states,non-fatal,airplane,columbia aircraft mfg,lc42 550fg,1.0,reciprocating,0.0,0.0,0.0,0.0,039194N,0120820W,no,Substantial,truckee,ca,West,0.0
"philadelphia, pa",accident,2014-03-21,united states,non-fatal,airplane,cessna,206h,1.0,reciprocating,0.0,0.0,0.0,0.0,040455N,0075038W,no,Substantial,philadelphia,pa,North East,0.0
"marine city, mi",accident,2014-03-21,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,424317N,0823547W,no,Substantial,marine city,mi,Midwest,0.0
"ridgway, co",accident,2014-03-22,united states,fatal,airplane,socata,tbm 700,1.0,turbo prop,5.0,0.0,0.0,0.0,038135N,1074443W,no,Substantial,ridgway,co,West,5.0
"safety harbor, fl",accident,2014-03-22,united states,fatal,airplane,piper,pa-28-181,1.0,reciprocating,2.0,1.0,0.0,1.0,002801N,0824232W,no,Substantial,safety harbor,fl,South,4.0
"mt olive, nc",accident,2014-03-22,united states,non-fatal,airplane,cessna,172b,1.0,reciprocating,0.0,0.0,0.0,0.0,351317N,0078219W,no,Substantial,mt olive,nc,South,0.0
"vonore, tn",accident,2014-03-23,united states,fatal,airplane,dehavilland,dhc-1,1.0,reciprocating,1.0,0.0,0.0,0.0,352757N,0084037W,no,Substantial,vonore,tn,South,1.0
"kill devil hills, nc",accident,2014-03-23,united states,non-fatal,airplane,fantasy air sro,allegro 2000,1.0,reciprocating,0.0,2.0,0.0,2.0,003614N,0754010W,no,Substantial,kill devil hills,nc,South,4.0
"saint petersburg, fl",accident,2014-03-23,united states,non-fatal,airplane,waco,uic,1.0,reciprocating,0.0,0.0,0.0,0.0,274551N,0823730W,no,Substantial,saint petersburg,fl,South,0.0
"st. petersburg, fl",accident,2014-03-23,united states,non-fatal,airplane,cessna,o1 - a,1.0,reciprocating,0.0,0.0,0.0,0.0,274537N,0823745W,no,Substantial,st. petersburg,fl,South,0.0
"knoxville, tn",accident,2014-03-23,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,035536N,0835727W,no,Substantial,knoxville,tn,South,0.0
"mesa, az",accident,2014-03-23,united states,non-fatal,airplane,diamond aircraft ind inc,da 20 c1,1.0,reciprocating,0.0,0.0,0.0,0.0,332729N,0111445W,no,Substantial,mesa,az,West,0.0
"menard, tx",accident,2014-03-23,united states,non-fatal,helicopter,robinson,r44 - ii,1.0,reciprocating,0.0,0.0,0.0,0.0,305437N,0994650W,no,Substantial,menard,tx,South,0.0
"brunswick, ga",accident,2014-03-24,united states,fatal,airplane,piper,pa-44-180,2.0,reciprocating,2.0,0.0,0.0,0.0,311648N,0812441W,no,Destroyed,brunswick,ga,South,2.0
"fallon, nv",accident,2014-03-24,united states,non-fatal,airplane,aeronca,7dc,1.0,reciprocating,0.0,0.0,0.0,0.0,392958N,1184456W,no,Substantial,fallon,nv,West,0.0
"carlisle, pa",accident,2014-03-24,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,1.0,0.0,1.0,401317N,0771156W,no,Substantial,carlisle,pa,North East,2.0
"inarajan,",accident,2014-03-26,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,0.0,0.0,0.0,131734N,0144444E,no,Substantial,"inarajan,",Unknown,,0.0
"traverse city, mi",incident,2014-03-26,united states,non-fatal,airplane,cessna,560xl,2.0,turbo fan,0.0,0.0,0.0,0.0,444427N,0853515W,no,,traverse city,mi,Midwest,0.0
"north pole, ak",accident,2014-03-27,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,642924N,0147150W,no,Substantial,north pole,ak,West,0.0
"dadeville, al",accident,2014-03-27,united states,non-fatal,airplane,aviat aircraft inc,a 1b,1.0,reciprocating,0.0,0.0,0.0,0.0,324950N,0854533W,no,Substantial,dadeville,al,South,0.0
"yakima, wa",accident,2014-03-28,united states,non-fatal,airplane,just aircraft llc,highlander,1.0,reciprocating,0.0,0.0,0.0,0.0,046343N,1203220W,no,Substantial,yakima,wa,West,0.0
